epoch,test_acc,test_prec,test_recall,test_f1,test_auc,test_loss,cosine_threshold,entropy_threshold
1,77.27678571428571,66.67783856391907,97.22222089767456,81.48417606402329,78.7673788265306,0.5808011906014549,0.622459352016449,0.5728901028633118
2,80.0,69.50278282165527,96.41491770744324,83.22097378277154,81.90824298469389,0.5265330357684029,0.622459352016449,0.53835129737854
3,82.09821428571429,71.79150581359863,96.15137577056885,84.67711119602599,84.97967155612245,0.4943711459636688,0.622459352016449,0.4983327090740204
4,82.85714285714286,72.36205339431763,96.84663414955139,85.3211009174312,85.91318558673468,0.4813999757170677,0.622459352016449,0.47279614210128784
5,83.61607142857143,74.62290525436401,93.20937395095825,85.4191497814859,86.6271125637755,0.4824630791942279,0.622459352016449,0.45538219809532166
6,84.10714285714286,75.55228471755981,92.531818151474,85.70281124497991,86.96795280612245,0.4744448901878463,0.622459352016449,0.4286927878856659
7,85.40178571428572,77.04952359199524,92.79930591583252,86.7450344548034,87.69164540816325,0.470312409930759,0.622459352016449,0.3996175229549408
8,86.11607142857143,77.07090377807617,94.67495679855347,87.53507014028055,87.79288903061224,0.4626244356234868,0.622459352016449,0.3767319619655609
9,86.29464285714286,77.1421492099762,95.02671360969543,87.71508603441377,87.87157206632652,0.4582754299044609,0.622456967830658,0.36849167943000793
10,86.875,77.69587635993958,95.40454149246216,88.21170809943865,88.17534279336735,0.45345329079363084,0.6224560737609863,0.36405935883522034
11,86.65178571428571,77.41172313690186,95.40454149246216,88.03521408563425,88.24649234693878,0.45055417385366225,0.6223376989364624,0.36347219347953796
12,86.875,77.71320939064026,95.40350437164307,88.21170809943865,88.91485969387756,0.4455823385053211,0.6098097562789917,0.35916563868522644
13,87.72321428571429,78.57243418693542,95.94088792800903,88.94250100522719,89.22783801020408,0.43917805701494217,0.6061339378356934,0.3415859043598175
14,87.54464285714286,78.55544686317444,95.51345109939575,88.75453446191052,89.39405293367346,0.4363760393526819,0.6060401797294617,0.32876792550086975
15,87.67857142857143,78.51727604866028,95.94457745552063,88.90675241157557,89.40361926020408,0.4371569760971599,0.6060377955436707,0.3242177665233612
16,87.94642857142857,78.8461983203888,96.06049656867981,89.13043478260869,89.45169005102042,0.4361380297276709,0.6060377359390259,0.32228150963783264
17,87.90178571428572,78.9286196231842,95.80501914024353,89.0681726502622,89.49880420918367,0.43731599466668236,0.6060377359390259,0.3208029270172119
18,87.85714285714286,79.00787591934204,95.54226994514465,89.00565885206144,89.4126275510204,0.4379882075720363,0.6060377359390259,0.3206755816936493
19,87.67857142857143,79.31779026985168,94.3476676940918,88.74388254486134,89.4591438137755,0.43977026144663495,0.6060377359390259,0.32066962122917175
20,87.76785714285714,79.56467270851135,94.1024124622345,88.78887070376432,89.45352359693878,0.4398171909981304,0.6060377359390259,0.32066673040390015
21,87.67857142857143,79.52812910079956,93.90299320220947,88.6977886977887,89.4341517857143,0.4397233790821499,0.6060377359390259,0.32066357135772705
22,87.76785714285714,79.57237958908081,94.09298300743103,88.78887070376432,89.47600446428572,0.43957145429319805,0.6060377359390259,0.3206599950790405
23,87.8125,79.58329319953918,94.1950261592865,88.83435582822085,89.45125159438776,0.43828826646010083,0.6060377359390259,0.32065582275390625
24,87.94642857142857,79.71991300582886,94.30630803108215,88.95253682487724,89.48246173469389,0.43751274049282074,0.6060377359390259,0.3206518888473511
25,87.63392857142858,79.19449806213379,94.56942081451416,88.72608872608872,89.38568239795919,0.4391182280249066,0.6060377359390259,0.32064709067344666
26,87.8125,79.50589060783386,94.40816044807434,88.85259289505922,89.41657366071429,0.4384491783049371,0.6060377359390259,0.32064172625541687
27,87.54464285714286,78.99096608161926,94.72832083702087,88.67235079171742,89.37862723214286,0.4393380996253755,0.6060377359390259,0.3206388056278229
28,87.45535714285714,78.67963910102844,95.07304430007935,88.63728265264861,89.12316645408164,0.440592675573296,0.6060377359390259,0.32063767313957214
29,86.51785714285715,79.32624220848083,91.47079586982727,87.4688796680498,89.34390943877551,0.4455706899364789,0.6060377359390259,0.32063329219818115
30,87.45535714285714,79.36800718307495,93.81468892097473,88.49774866966844,89.26482780612245,0.4384114518761635,0.6060377359390259,0.32062917947769165
31,87.58928571428571,79.0139377117157,94.72365975379944,88.70836718115353,89.26299426020408,0.43741577366987866,0.6060377359390259,0.32061949372291565
